GRB	Redshift
260114A	0.524 (VLT: emission from putative host)
260101A	2.623 (GTC: absorption)|2.623 (NOT: absorption)
251205A	1.100 (GTC: absorption)
251201B	1.599 (SALT: absorption)
251126A	3.52 (COLIBRÃ: photometric)|~3.6 (OHP/T193: tentative)
251017A	4.34 (COLIBRÃ: photometric)|4.327 (VLT: absorption)
251003A	4.412 (GTC: absorption)| 4.38 (COLIBRÃ: photometric)
251001B	2.162 (GTC: absorption)
250925A	3.899 (GTC: absorption)|4.20 (COLIBRÃ: photometric)
250920C	1.40 (GTC: absorption)|1.399 (SALT: absorption)|1.399 (VLT: absorption)
250807B	â€¯1.522 (VLT: absorption)
250725A	5.26 (VLT: absorption)
250702F	1.520 (GTC/OSIRIS+: absorption)
250617B	1.396 (VLT: absorption & emission from host)
250430A	0.767 (VLT: absorption)
250424A	0.310 (VLT: absorption, emission from likely host)
250322A	0.42 (Gemini-North: emission from likely host)|0.4215 (VLT: emission from likely host)
250225B	0.950 (VLT: emission from host)
250221A	0.768 (VLT: emission)
250129A	2.151 (VLT: absorption)|2.15 (NOT: absorption)|2.15 (OHP/T193: absorption)
250114A	4.732 (VLT: absorption)
250108B	2.197 (Gemini-North: absorption)
250103B	1.416 (VLT: absorption & emission)
250101A	2.49 (Xinglong: absorption)|2.481 (GMG: absorption)
241209A	1.490 (VLT: emission from possible host)|0.784 (OSIRIS+/GTC: emission from likely host)
241105A	2.681 (VLT: absorption)
241030B	2.82 (GTC: absorption, tentative)
241030A	1.411 (Keck: absorption)|~1.4 (GMG: absorption)
241026A	2.79 (BTA: absorption)|2.791 (LBT: absorption)
241025A	4.20 (NOT: absorption)
241010A	0.977 (GTC: emission, host)
240912A	1.234 (GTC: absorption)|1.23 (NOT: absorption)
240825A	0.659 (VLT: absorption & emission)|~0.66 (TNG: absorption)
240809A	1.495 (NOT)|1.494 (VLT: absorption)
240529A	2.695 (GTC: absorption)
240419A	5.178 (VLT: absorption)
240414A	1.833 (OHP: absorption)|1.833 (GTC: absorption)
240218A	6.782 (VLT: absorption)
240205B	0.824 (VLT: absorption)
231215A	2.305 (OSIRIS+/GTC: absorption)
231210B	3.13 (VLT: absorption )
231118A	0.8304 (VLT: absorption)
231117A	0.257 (Keck I: emission & absorption)|0.257 (ePESSTO+: emission)
231111A	~1.39 (TNG, tentative)| 1.179 (GTC)
230818A	2.42 (NOT: absorption)|2.42 (SAO RAS: absorption)
230506C	3.7
230414B	3.568 (OSIRIS/GTC: absorption)
230328B	Minimal possible redshift value of z = 0.09
230325A	1.664 (VLT: emission)
230116D	3.81 (SAO RAS: absorption)
221226B	2.694 (VLT: absorption)
221110A	4.06 (VLT: absorption)
221009A	0.151 (VLT: absorption & emission from host)|0.1505 (GTC: absorption)
220611A	2.3608 (VLT: emission from host)
220521A	5.6 (NOT: absorption)|5.57 (Gemini-South)
220117A	4.961 (VLT: absorption)
220107A	1.246 (BTA: absorption)
